City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,hawaiian paradise park,19.5933,-154.9731,27.72,73,20,0.89,US,2024-08-27 19:39:58
69,papatowai,-46.5619,169.4708,8.16,91,80,2.8,NZ,2024-08-27 19:43:36
70,talnakh,69.4865,88.3972,13.24,96,100,1.27,RU,2024-08-27 19:43:37
71,lihue,21.9789,-159.3672,27.77,71,75,5.66,US,2024-08-27 19:36:10
72,hermanus,-34.4187,19.2345,6.56,68,97,16.79,ZA,2024-08-27 19:43:39
73,fale old settlement,-9.3852,-171.2468,27.81,75,9,4.89,TK,2024-08-27 19:43:40
74,tiznit,29.5833,-9.5,23.16,45,0,1.53,MA,2024-08-27 19:43:41
75,indramayu,-6.3264,108.32,24.8,67,100,3.7,ID,2024-08-27 19:43:03
76,udachny,66.4167,112.4,9.63,70,93,1.97,RU,2024-08-27 19:39:48
77,west island,-12.1568,96.8225,25.99,89,40,6.17,CC,2024-08-27 19:40:24
78,geraldton,-28.7667,114.6,14.23,100,44,4.63,AU,2024-08-27 19:43:46
79,mozarlandia,-14.7447,-50.5706,37.08,15,0,0.98,BR,2024-08-27 19:43:47
80,mahina,-17.5065,-149.489,24.87,65,75,1.54,PF,2024-08-27 19:43:49
81,arraial do cabo,-22.9661,-42.0278,20.92,56,0,2.06,BR,2024-08-27 19:43:50
82,bondo,3.8146,23.6866,21.89,96,100,1.65,CD,2024-08-27 19:43:51
83,codrington,-38.2667,141.9667,10.35,72,89,11.64,AU,2024-08-27 19:38:12
84,kalemie,-5.9475,29.1947,24.64,48,21,1.0,CD,2024-08-27 19:43:53
85,peace river,56.2501,-117.286,19.17,63,100,7.72,CA,2024-08-27 19:43:55
86,enewetak,11.3474,162.3373,28.71,81,85,8.56,MH,2024-08-27 19:43:56
87,katsuura,35.1333,140.3,26.4,87,67,5.23,JP,2024-08-27 19:43:57
88,uturoa,-16.7333,-151.4333,24.69,73,78,8.53,PF,2024-08-27 19:38:35
89,tura,25.5198,90.2201,23.86,96,27,1.7,IN,2024-08-27 19:43:59
90,luderitz,-26.6481,15.1594,13.91,78,0,7.4,NA,2024-08-27 19:44:01
91,guerrero negro,27.9769,-114.0611,26.79,52,5,6.14,MX,2024-08-27 19:41:56
92,sinabang,2.4803,96.3801,24.23,84,100,4.66,ID,2024-08-27 19:44:03
93,hinton,53.4001,-117.5857,8.98,95,100,3.6,CA,2024-08-27 19:42:20
94,klyuchi,52.2667,79.1667,15.13,68,74,0.75,RU,2024-08-27 19:44:05
95,tsiombe,-25.3,45.4833,20.1,72,0,1.64,MG,2024-08-27 19:44:07
96,ushuaia,-54.8,-68.3,7.81,49,40,5.14,AR,2024-08-27 19:43:13
97,bethel,41.3712,-73.414,30.02,55,20,2.57,US,2024-08-27 19:38:43
98,popondetta,-8.7537,148.2534,22.2,93,87,1.18,PG,2024-08-27 19:44:10
99,nova sintra,14.8667,-24.7167,27.5,76,100,3.02,CV,2024-08-27 19:44:11
100,gujar khan,33.2558,73.3026,24.79,79,67,2.32,PK,2024-08-27 19:44:08
101,kuta,-8.7233,115.1723,22.97,100,40,0.51,ID,2024-08-27 19:44:14
102,vadso,70.0744,29.7487,13.09,67,0,11.83,NO,2024-08-27 19:44:15
103,kavaratti,10.5669,72.642,27.45,83,96,5.23,IN,2024-08-27 19:39:41
104,long beach,33.767,-118.1892,26.75,72,0,4.63,US,2024-08-27 19:44:17
105,utrik,11.2278,169.8474,28.79,78,100,6.73,MH,2024-08-27 19:38:06
106,sitka,57.0531,-135.33,12.94,88,100,2.06,US,2024-08-27 19:44:07
107,hadibu,12.65,54.0333,26.61,81,95,7.01,YE,2024-08-27 19:44:21
108,mapimi,25.8167,-103.85,30.56,31,0,3.64,MX,2024-08-27 19:44:22
109,rakops,-21.0167,24.3333,21.41,15,0,2.18,BW,2024-08-27 19:44:23
110,iqaluit,63.7506,-68.5145,5.85,93,100,0.0,CA,2024-08-27 19:38:52
111,an nuhud,12.7,28.4333,22.07,91,100,5.86,SD,2024-08-27 19:44:26
112,prince rupert,54.3161,-130.3201,13.05,82,75,2.06,CA,2024-08-27 19:44:27
113,salahonda,2.1019,-78.7217,26.61,83,48,5.17,CO,2024-08-27 19:44:28
114,avarua,-21.2078,-159.775,24.03,88,75,6.69,CK,2024-08-27 19:44:29
